,Unnamed: 0,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,price_m2,month,median_price_m2_by_month_zipcode_condition,status,buy_price,sell_price
0,0,7129300520,2014-10-13,221900.0,3,1,1180,5650,1,0,3,1180,0,1955,1900,98178,47.5112,-122.257,422.74895575221234,10,427.26396370853416,not buy,0.0,0.0
1,1,8073000495,2014-10-10,700000.0,2,1,1160,17635,1,1,3,1160,0,1945,1900,98178,47.5117,-122.248,427.26396370853416,10,427.26396370853416,not buy,0.0,0.0
2,2,3352402250,2014-10-21,119900.0,2,1,700,3180,1,0,3,480,220,1951,1900,98178,47.4976,-122.262,405.85018867924526,10,427.26396370853416,not buy,0.0,0.0
3,3,399000195,2014-10-20,200000.0,3,1,960,7500,1,0,3,960,0,1953,1900,98178,47.4966,-122.255,287.04,10,427.26396370853416,buy,200000.0,0.0
4,4,185000161,2014-10-15,261000.0,3,1,1780,7800,1,0,3,1060,720,1957,1900,98178,47.4932,-122.263,360.18,10,427.26396370853416,not buy,0.0,0.0
5,5,4058801310,2014-10-09,287000.0,2,1,930,6900,1,0,3,930,0,1952,1900,98178,47.506,-122.242,447.72,10,427.26396370853416,not buy,0.0,0.0
6,6,3878900185,2014-10-22,303100.0,3,1,1640,5650,1,0,3,1640,0,1952,1900,98178,47.509,-122.251,577.4457345132744,10,427.26396370853416,not buy,0.0,0.0
7,7,1180000625,2014-10-29,315000.0,4,2,1950,3225,2,0,3,1950,0,2002,1900,98178,47.5014,-122.226,1051.367441860465,10,427.26396370853416,not buy,0.0,0.0
8,8,2520900301,2014-10-22,239300.0,3,1,1070,5750,1,0,3,1070,0,1952,1900,98178,47.5071,-122.255,447.9696,10,427.26396370853416,not buy,0.0,0.0
9,9,7812800515,2014-10-25,159075.0,4,1,1580,6200,1,0,3,790,790,1944,1900,98178,47.4971,-122.24,276.1747258064516,10,427.26396370853416,buy,159075.0,0.0
10,10,372000040,2014-10-03,304000.0,3,1,1720,6000,1,0,3,1000,720,1954,1900,98178,47.4999,-122.223,545.376,10,427.26396370853416,not buy,0.0,0.0
11,11,179001425,2014-10-24,230000.0,3,1,1420,3000,1,0,3,710,710,1931,2014,98178,47.4928,-122.274,825.24,10,427.26396370853416,not buy,0.0,0.0
12,12,179000505,2014-10-24,257000.0,3,1,1800,9000,1,0,3,1200,600,1961,1900,98178,47.4932,-122.278,307.372,10,427.26396370853416,not buy,0.0,0.0
13,13,7192200040,2014-10-01,280000.0,4,1,1880,6288,1,0,3,1120,760,1974,1900,98178,47.5101,-122.259,479.3129770992367,10,427.26396370853416,not buy,0.0,0.0
14,14,2976800749,2014-10-31,150000.0,4,2,1460,7254,1,0,3,1460,0,1959,1900,98178,47.5056,-122.254,222.58064516129036,10,427.26396370853416,buy,150000.0,0.0
15,15,7812801590,2014-10-30,219900.0,3,1,860,6664,1,0,3,860,0,1944,1900,98178,47.4931,-122.247,355.19261704681867,10,427.26396370853416,not buy,0.0,0.0
16,16,7812801850,2014-10-15,194000.0,3,1,1180,6050,1,0,3,820,360,1944,1900,98178,47.4945,-122.249,345.1596694214876,10,427.26396370853416,not buy,0.0,0.0
17,17,7689600215,2014-10-17,202500.0,3,1,1120,8576,1,0,3,1120,0,1943,1900,98178,47.4896,-122.248,254.1639458955224,10,427.26396370853416,buy,202500.0,0.0
18,18,1180000830,2014-10-02,460000.0,4,3,2870,3225,2,0,3,2070,800,2006,1900,98178,47.5009,-122.225,1535.3302325581396,10,427.26396370853416,not buy,0.0,0.0
19,19,7813500040,2014-10-15,335000.0,4,2,1900,3301,2,0,3,1900,0,2007,1900,98178,47.489,-122.249,1092.3780672523478,10,427.26396370853416,not buy,0.0,0.0
20,20,4140940150,2014-10-02,572000.0,4,2,2770,3852,2,0,3,2770,0,2014,1900,98178,47.5001,-122.232,1598.392523364486,10,427.26396370853416,not buy,0.0,0.0
21,21,6414100192,2014-12-09,538000.0,3,2,2570,7242,2,0,3,2170,400,1951,1991,98125,47.721,-122.319,799.6454018227009,12,700.5495867768595,not buy,0.0,0.0
22,22,9421500070,2014-12-30,528000.0,4,2,1910,8005,1,0,3,1280,630,1960,1900,98125,47.7259,-122.298,709.98026233604,12,700.5495867768595,not buy,0.0,0.0
23,23,9455200570,2014-12-17,632000.0,6,2,2560,8320,1,0,3,1370,1190,1961,1900,98125,47.7021,-122.287,817.65,12,700.5495867768595,not buy,0.0,0.0
